"Id","SalePrice"
1461,57950.2884227024
1462,82101.7639634938
1463,93181.0320537682
1464,96637.7296936387
1465,99778.2147192265
1466,84447.118734788
1467,88058.080709197
1468,81383.0511935236
1469,98054.9804984784
1470,60675.7490843781
1471,97317.923510277
1472,46521.5383710665
1473,45318.2980347479
1474,75795.6440040898
1475,55585.2369658954
1476,181120.465846083
1477,127651.349120376
1478,147232.10941171
1479,138585.498509405
1480,247490.832452793
1481,176249.64809691
1482,109511.224503065
1483,89928.3352173436
1484,83441.4673641369
1485,94918.1341488292
1486,98437.5963760779
1487,164988.385706348
1488,117011.187479602
1489,100076.903407903
1490,112189.970025277
1491,97548.2814340222
1492,45718.4675446472
1493,97764.6467412107
1494,148410.770529805
1495,147483.255412824
1496,114210.817533319
1497,90544.1078096344
1498,84711.8928690959
1499,78943.9547939583
1500,76187.6730682423
1501,86314.2557022521
1502,75118.1924840653
1503,137926.660775608
1504,122180.28282843
1505,110886.073231135
1506,98332.0079084308
1507,121965.113492173
1508,99706.0506602276
1509,80834.1850939569
1510,73593.5376040766
1511,73038.3324262029
1512,89486.7604766341
1513,69697.5509403684
1514,74895.4551312699
1515,92645.4279394874
1516,76983.039291257
1517,85384.0707526055
1518,68818.4008993645
1519,107649.337966444
1520,65471.7182536463
1521,66068.738270487
1522,86133.9765366644
1523,55546.6703752271
1524,61808.6241238946
1525,59481.2743887648
1526,60083.0737206668
1527,52449.1705099556
1528,68044.7942055148
1529,75624.7616205042
1530,89881.1927734699
1531,52895.4885041971
1532,51355.7842293813
1533,78410.8893574607
1534,59410.8754092212
1535,76641.0947575282
1536,54765.1229457066
1537,33533.0075638181
1538,80207.538703335
1539,98320.8268085946
1540,46878.4652610678
1541,69837.0717980632
1542,69321.932126298
1543,96548.8356394555
1544,43649.8498093409
1545,55490.5099905835
1546,64473.4022169108
1547,65097.1029466389
1548,67444.6627541972
1549,59347.4562589406
1550,66595.30361223
1551,57267.0878057031
1552,64667.7082918291
1553,75810.1389671272
1554,59604.8291992343
1555,81721.8429338691
1556,42870.963797635
1557,54837.9790135873
1558,46592.324241893
1559,41695.5834366018
1560,69365.7367869601
1561,63022.3414441712
1562,65864.4451989682
1563,60892.7880562584
1564,80376.6799881041
1565,72160.7266455535
1566,122254.619543852
1567,38220.5059783313
1568,117519.018172786
1569,67083.8068704066
